strategy,round,labeled_count,top_potent_recovered,top_potent_recovery_fraction,mean_selected_pIC50,selected_scaffold_count
random,0,400,40,0.03770028275212064,6.840075416034138,313
random,1,900,78,0.07351555136663525,6.872809452726881,625
random,2,1400,119,0.11215834118755891,6.88079016216594,879
random,3,1900,164,0.15457115928369464,6.868925399051633,1120
random,4,2400,213,0.20075400565504242,6.8788531045471,1347
random,5,2900,261,0.24599434495758718,6.88294518429505,1511
highest_predicted_pIC50,0,400,40,0.03770028275212064,6.840075416034138,313
highest_predicted_pIC50,1,900,157,0.14797360980207352,7.464790694297055,532
highest_predicted_pIC50,2,1400,204,0.19227144203581528,7.452891757206299,726
highest_predicted_pIC50,3,1900,308,0.29029217719132894,7.532945370726658,869
highest_predicted_pIC50,4,2400,346,0.32610744580584355,7.4574237038943085,1090
highest_predicted_pIC50,5,2900,388,0.3656927426955702,7.40757176545751,1304
uncertainty_sampling,0,400,40,0.03770028275212064,6.840075416034138,313
uncertainty_sampling,1,900,79,0.07445805843543826,6.458964959495078,571
uncertainty_sampling,2,1400,125,0.117813383600377,6.530801208181439,820
uncertainty_sampling,3,1900,185,0.17436380772855797,6.629298810827749,1037
uncertainty_sampling,4,2400,224,0.2111215834118756,6.672651057863935,1238
uncertainty_sampling,5,2900,274,0.2582469368520264,6.723370834824076,1438
scaffold_diverse_high_score,0,400,40,0.03770028275212064,6.840075416034138,313
scaffold_diverse_high_score,1,900,110,0.10367577756833177,7.229812333651641,777
scaffold_diverse_high_score,2,1400,163,0.1536286522148916,7.2613352445864034,1081
scaffold_diverse_high_score,3,1900,225,0.21206409048067862,7.279183956429921,1322
scaffold_diverse_high_score,4,2400,297,0.27992459943449577,7.297712236363365,1554
scaffold_diverse_high_score,5,2900,348,0.32799245994344955,7.285852890912002,1787
applicability_domain_aware_high_score,0,400,40,0.03770028275212064,6.840075416034138,313
applicability_domain_aware_high_score,1,900,137,0.1291234684260132,7.517052184290324,505
applicability_domain_aware_high_score,2,1400,232,0.21866163996229973,7.657862511050433,643
applicability_domain_aware_high_score,3,1900,321,0.30254476908576816,7.607254111909549,900
applicability_domain_aware_high_score,4,2400,372,0.35061262959472195,7.534024574662062,1134
applicability_domain_aware_high_score,5,2900,424,0.3996229971724788,7.47755656017042,1360
hybrid_activity_uncertainty_diversity,0,400,40,0.03770028275212064,6.840075416034138,313
hybrid_activity_uncertainty_diversity,1,900,112,0.1055607917059378,7.112779658092906,772
hybrid_activity_uncertainty_diversity,2,1400,156,0.1470311027332705,7.153764786154829,1089
hybrid_activity_uncertainty_diversity,3,1900,215,0.20263901979264845,7.196786845320708,1343
hybrid_activity_uncertainty_diversity,4,2400,271,0.2554194156456173,7.223586427213628,1588
hybrid_activity_uncertainty_diversity,5,2900,328,0.3091423185673893,7.217027614612422,1827
